"Name","Dragon.Year","Sex","Time.in.pop","AgeClass","ActiveFungus","InfectedDensity.Annual","Name2"
"Mercy",2014,"Female",1325.68571428571,"Adult",0,7.78018118803492e-06,"Mercy"
"Merlin",2014,"Male",412.333333333333,"Adult",0,3.53943779856808e-05,"Merlin"
"Michal",2014,"Female",783.578947368421,"Adult",0,0.000276669517233783,"Michal"
"Millie",2014,"Female",1334.35714285714,"Adult",0,0.000146716863229729,"Millie"
"Missy",2014,"Female",1328.30769230769,"Adult",0,0.000253672724545028,"Missy"
"Molly",2014,"Female",1328.26086956522,"Juvenile",0,0.0001473350669845,"Molly"
"Mowgli",2014,"Male",37.4,"Adult",0,0.000153595771916303,"Mowgli"
"Muffin",2014,"Female",1323.03333333333,"Adult",0,0.000158595588071122,"Muffin"
"Nigella",2014,"Female",705.25,"Adult",0,0.000109110521209755,"Nigella"
"Oatsy",2014,"Male",1063,"Adult",0,0,"Oatsy"
"Oliver",2014,"Male",797,"Adult",0,4.03401216550728e-12,"Oliver"
"Palkana",2014,"Female",28.3333333333333,"Adult",0,0.000561700307831482,"Palkana"
"Pancake",2014,"Female",1323.34782608696,"Adult",0,0.000148308292774714,"Pancake"
"Paqueratte",2014,"Female",780.774193548387,"Juvenile",0,5.3476897484851e-12,"Paqueratte"
"Patrick",2014,"Male",747.25,"Adult",0,0.000153526654527076,"Patrick"
"Paul",2014,"Male",1322.14285714286,"Adult",0,8.57261747244057e-05,"Paul"
"Peacan",2014,"Female",1306,"Adult",0,0.000167417319075614,"Peacan"
"Peaches",2014,"Female",1329.22222222222,"Adult",0,1.94435846487087e-10,"Peaches"
"Peanut",2014,"Male",774.733333333333,"Adult",1,0.000105234150959026,"Peanut"
"Pear",2014,"Female",785.52380952381,"Juvenile",0,0.000139515062616443,"Pear"
"Phobos",2014,"Female",52.6666666666667,"Adult",0,2.30922172939755e-08,"Phobos"
"Pinky",2014,"Female",1296.93333333333,"Adult",0,5.45008372451209e-06,"Pinky"
"Pippa",2014,"Female",745.75,"Juvenile",0,0.000113348020290113,"Pippa"
"Piran",2014,"Female",30.6666666666667,"Juvenile",0,0,"Piran"
"Pistatxo",2014,"Male",728.25,"Adult",0,0.000160919418976191,"Pistatxo"
"Pixie",2014,"Female",1337.4,"Juvenile",0,6.56296839754231e-05,"Pixie"
"Polly",2014,"Female",717.727272727273,"Juvenile",0,2.81072072040301e-07,"Polly"
"Poncho",2014,"Male",782.571428571429,"Adult",0,1.35361945173693e-08,"Poncho"
"Potato",2014,"Male",771.666666666667,"Adult",0,2.2615676839705e-07,"Potato"
"Puppet",2014,"Male",1313.73913043478,"Adult",0,1.83300515873147e-06,"Puppet"
"Quick",2014,"Male",1284.6,"Adult",0,0.000155685780563541,"Quick"
"Rain",2014,"Female",32,"Juvenile",0,0.000101347104249502,"Rain"
"Rainbow",2014,"Female",39.7368421052632,"Juvenile",0,3.85139563356723e-07,"Rainbow"
"Rankin",2014,"Male",375.727272727273,"Adult",0,7.5253938003928e-06,"Rankin"
"Riana",2014,"Female",757,"Adult",0,0.000159605262646457,"Riana"
"Ripper",2014,"Male",387.833333333333,"Adult",0,0.000259161949800699,"Ripper"
"Rolley",2014,"Female",1328.25,"Adult",0,0.000160354384625853,"Rolley"
"Rosie",2014,"Female",749,"Adult",0,2.91942998691356e-10,"Rosie"
"Runner",2014,"Male",554,"Adult",0,0.00041254177104005,"Runner"
"Runner",2014,"Male",595.625,"Adult",1,0.000489412012126345,"Runner"
"Ryan",2014,"Male",790,"Adult",0,0,"Ryan"
"Salami",2014,"Male",341.5,"Adult",0,7.41496566377027e-05,"Salami"
"Sandy",2014,"Female",1322.57894736842,"Adult",0,0.000154635760503778,"Sandy"
"Sansa",2014,"Female",761,"Juvenile",0,0.000145915641516855,"Sansa"
"Sawyer",2014,"Male",1324.5,"Adult",0,0.000156245763071685,"Sawyer"
"Scooter",2014,"Male",1311.66666666667,"Adult",0,0,"Scooter"
"Scout",2014,"Male",1318.9,"Adult",0,0.00016416831859848,"Scout"
"Seb",2014,"Male",1331.2,"Adult",0,0.000162418646086222,"Seb"
"Skillet",2014,"Male",804.571428571429,"Adult",0,0.000226627128464732,"Skillet"
"Skitt",2014,"Female",1287.5,"Adult",0,1.24442573684354e-12,"Skitt"
"Snape",2014,"Male",387.5,"Juvenile",0,9.02492278157399e-07,"Snape"
"Sophie",2014,"Female",1340.5,"Adult",0,0.000130808878387202,"Sophie"
"Spears",2014,"Female",749.090909090909,"Adult",0,0.000402592643840327,"Spears"
"Stephan",2014,"Male",731,"Adult",0,4.05219005557728e-05,"Stephan"
"Sunbird",2014,"Female",326.333333333333,"Juvenile",0,2.08902307329075e-05,"Sunbird"
"Surf",2014,"Female",34,"Adult",0,0.000263405769614263,"Surf"
"Table",2014,"Female",736.875,"Juvenile",0,0.000159356459264955,"Table"
"Tamara",2014,"Female",724.75,"Adult",0,0.000178812775388539,"Tamara"
"Taylor",2014,"Female",1286,"Adult",0,0.000356387135734461,"Taylor"
"Tilly",2014,"Female",1307.4,"Adult",0,4.84805704804776e-10,"Tilly"
"Tipper",2014,"Female",1286.6,"Adult",0,0.000172552956612414,"Tipper"
"Tobin",2014,"Male",68.8,"Adult",0,1.27171921057551e-06,"Tobin"
"Tommy",2014,"Male",641,"Adult",0,0,"Tommy"
"Tony",2014,"Male",1285,"Adult",0,4.10865132012311e-10,"Tony"
"Tootsie",2014,"Female",1294,"Adult",0,0,"Tootsie"
"Triton",2014,"Male",21.6666666666667,"Adult",0,5.8009791142365e-06,"Triton"
"Trumpet",2014,"Male",1045.75,"Adult",0,9.00798851048138e-05,"Trumpet"
"Tulip",2014,"Female",788,"Juvenile",0,8.78970843696258e-07,"Tulip"
"Tyler",2014,"Male",77.4285714285714,"Juvenile",0,0,"Tyler"
"Violet",2014,"Female",1321.63333333333,"Adult",0,0.000137805563622465,"Violet"
"Wally",2014,"Male",1321.5,"Adult",0,0.000155711878498731,"Wally"
"Whisker",2014,"Male",1323.85714285714,"Adult",0,1.02534347829322e-07,"Whisker"
"William",2014,"Male",1306,"Adult",0,0.000198658492702924,"William"
"Wink",2014,"Male",1305,"Adult",0,0,"Wink"
"Winnie",2014,"Female",24.625,"Adult",0,0.000119440424171872,"Winnie"
"Wolverine",2014,"Male",32.6666666666667,"Adult",0,0.000208413408784492,"Wolverine"
"Yves",2014,"Male",748.5,"Adult",0,0.000215379992095045,"Yves"
"Abuela",2015,"Female",238.777777777778,"Juvenile",0,0.000593790558986941,"Abuela"
"Acer",2015,"Male",1424,"Adult",0,3.87590639504224e-08,"Acer"
"Africa",2015,"Male",1062.87323943662,"Adult",0,1.24057923070931e-12,"Africa"
"Agnes",2015,"Female",339,"Juvenile",0,0.000307944078462556,"Agnes"
"Aina",2015,"Female",92,"Juvenile",0,3.05965607478178e-05,"Aina"
"Aladdin",2015,"Female",871,"Adult",0,0,"Aladdin"
"Albert",2015,"Male",1626.05357142857,"Adult",0,0.000151232975769037,"Albert"
"Aliona",2015,"Female",384.625,"Juvenile",0,0,"Aliona"
"Angie",2015,"Female",1459,"Adult",0,0,"Angie"
"Apple",2015,"Female",1105.89473684211,"Adult",0,0,"Apple"
"Apricot",2015,"Female",1644.8125,"Adult",0,0.000298254477309047,"Apricot"
"Aslan",2015,"Male",678.125,"Adult",0,0.00021448449087332,"Aslan"
"Asterix",2015,"Male",1090.58823529412,"Adult",0,0.00046942638190096,"Asterix"
"Barron",2015,"Male",1613.9875,"Adult",0,0.000171425009621323,"Barron"
"Beans",2015,"Female",1687.54545454545,"Adult",0,0,"Beans"
"Bec",2015,"Female",999.4,"Adult",0,1.33303276112926e-10,"Bec"
"Ben",2015,"Male",313.533333333333,"Adult",0,0.000146239263468904,"Ben"
"Beth",2015,"Female",992,"Adult",0,0.000259966612758553,"Beth"
"Beth",2015,"Female",1015.8,"Adult",1,0.000154911043289025,"Beth"
"Bev",2015,"Female",249.361111111111,"Juvenile",0,3.52630025854467e-06,"Bev"
"Binky",2015,"Female",1477.71428571429,"Adult",0,0.00015942749267854,"Binky"
"Blab",2015,"Female",306.973684210526,"Adult",0,0.000178677079359297,"Blab"
"Blip",2015,"Female",1383,"Adult",0,0.000857939815991396,"Blip"
"Bo",2015,"Male",1458.64705882353,"Adult",0,0.00014198930857487,"Bo"
"Bongo",2015,"Male",1455.53846153846,"Adult",0,0.00019169118756313,"Bongo"
"Brave",2015,"Female",214,"Juvenile",0,0.000258972351047463,"Brave"
"Broccoli",2015,"Female",1055.78260869565,"Juvenile",0,8.25354114227152e-06,"Broccoli"
"Brock",2015,"Male",720.636363636364,"Adult",0,0,"Brock"
"Bub",2015,"Male",512.090909090909,"Adult",0,1.30523463209905e-09,"Bub"
"Buddy",2015,"Male",1621.78888888889,"Adult",0,0.000387550705037373,"Buddy"
"Burrito",2015,"Male",287.176470588235,"Adult",0,0,"Burrito"
"Carrot",2015,"Female",272.818181818182,"Adult",0,0.000304003139604329,"Carrot"
"Cashew",2015,"Male",1556.54545454545,"Adult",0,4.51148090123734e-05,"Cashew"
"Cesc",2015,"Male",1119.80327868852,"Adult",0,3.21978859153359e-05,"Cesc"
"Chandy",2015,"Female",1175.96666666667,"Adult",0,0.00016601301482685,"Chandy"
"Chop",2015,"Female",208.3125,"Adult",0,0.000126244173114157,"Chop"
"Clover",2015,"Male",1647.5,"Adult",0,0.000244750292584275,"Clover"
"Coke",2015,"Male",1118.23076923077,"Adult",0,0,"Coke"
"Cole",2015,"Male",912.862068965517,"Adult",0,0.000261051123569895,"Cole"
"Consuela",2015,"Female",1058.79411764706,"Adult",0,3.32633037586529e-10,"Consuela"
"Coriander",2015,"Female",270.838709677419,"Adult",0,0.000275764624831207,"Coriander"
"Coriander",2015,"Female",39.875,"Juvenile",0,0.00015975486946317,"Coriander"
"Cramer",2015,"Male",957,"Adult",0,0.000198379626386607,"Cramer"
"Crayola",2015,"Female",819.5,"Juvenile",0,0,"Crayola"
"Cuddles",2015,"Female",1055.2,"Adult",0,4.26299385716326e-06,"Cuddles"
"Dan",2015,"Male",1095.91891891892,"Juvenile",0,0.000150137737429243,"Dan"
"Dancer",2015,"Male",1522.4,"Adult",0,1.73269597495414e-11,"Dancer"
"Delilah",2015,"Female",1077.52941176471,"Juvenile",0,0.000364402029512764,"Delilah"
"Demelza",2015,"Female",359.266666666667,"Adult",0,1.35339114973834e-05,"Demelza"
"Dina",2015,"Female",696.34375,"Adult",0,0.000346616179880099,"Dina"
"Dipper",2015,"Female",667.722222222222,"Adult",0,7.86949560359901e-07,"Dipper"
"Dixie",2015,"Female",1463.5,"Adult",0,8.76966779058443e-05,"Dixie"
"Dobby",2015,"Male",733.545454545455,"Adult",0,0.000403552802373904,"Dobby"
"Dolenta",2015,"Female",27,"Juvenile",0,0,"Dolenta"
"Dre",2015,"Male",1615,"Adult",0,2.70175901266418e-08,"Dre"
"Drogo",2015,"Male",1611.77777777778,"Juvenile",1,0.000360695344824359,"Drogo"
"Drummer",2015,"Male",1533.66666666667,"Adult",0,1.46237120876699e-08,"Drummer"
"Dumbo",2015,"Male",25.8095238095238,"Adult",0,0.00021225454600656,"Dumbo"
"Dumpling",2015,"Male",1554.40476190476,"Adult",0,1.10174738268956e-09,"Dumpling"
"Dumpy",2015,"Male",391,"Adult",0,5.20512085055849e-05,"Dumpy"
"Earl",2015,"Male",1478.5,"Adult",0,0.000125424327523825,"Earl"
"Elaine",2015,"Female",1108.71428571429,"Adult",0,2.17658525696063e-08,"Elaine"
"Elektra",2015,"Female",12,"Adult",0,0,"Elektra"
"Ellen",2015,"Female",376.666666666667,"Juvenile",0,0,"Ellen"
"Elowen",2015,"Female",258.25,"Juvenile",0,0.000305644993918456,"Elowen"
"Emerald",2015,"Female",167.2,"Adult",0,2.78106596505804e-05,"Emerald"
"Ente",2015,"Male",1107.98113207547,"Adult",0,0.00024663430523777,"Ente"
"Erin",2015,"Female",974.032786885246,"Juvenile",0,0.000141093141830579,"Erin"
"Esme",2015,"Female",1651.4406779661,"Adult",0,0.000350139365964818,"Esme"
"Ethel",2015,"Female",1635.05405405405,"Adult",0,0.000425297938902518,"Ethel"
"Evi",2015,"Female",314.875,"Adult",0,0.000176025194901808,"Evi"
"Fern",2015,"Female",695.444444444444,"Adult",1,0.00059756016516415,"Fern"
"Ffion",2015,"Female",381.709677419355,"Adult",0,6.57125726370765e-05,"Ffion"
"Flirty",2015,"Female",366.75,"Juvenile",0,2.69916711468094e-08,"Flirty"
"Ford",2015,"Male",607.75,"Adult",0,3.03105027311997e-06,"Ford"
"Francine",2015,"Female",1076.86301369863,"Adult",0,1.17994157976112e-06,"Francine"
"Fresh",2015,"Female",1078.07692307692,"Adult",0,2.7608086339934e-06,"Fresh"
"Fritter",2015,"Female",1080,"Adult",0,0.000857939815991396,"Fritter"
"Gaga",2015,"Male",907.285714285714,"Adult",0,0,"Gaga"
"Gallion",2015,"Male",985.148148148148,"Adult",0,2.91580750561743e-06,"Gallion"
"Gretel",2015,"Female",1617.19512195122,"Adult",0,4.59544260022808e-05,"Gretel"
"Grille",2015,"Male",1463.58333333333,"Adult",0,0.000153054733376197,"Grille"
"Grumpy",2015,"Female",121.5,"Adult",0,0.000116089100323308,"Grumpy"
"Grumpy",2015,"Female",374.4,"Adult",1,0.000493709524307716,"Grumpy"
"Hades",2015,"Male",233.625,"Adult",0,1.65577242267052e-05,"Hades"
"Hairy",2015,"Male",355.428571428571,"Adult",0,0,"Hairy"
"Hakuna",2015,"Female",353.933333333333,"Adult",0,0.000410374645285617,"Hakuna"
"Harvard",2015,"Male",879.5,"Adult",0,8.37137356458862e-05,"Harvard"
"Hazza",2015,"Male",703.342857142857,"Juvenile",0,0.000441953104228832,"Hazza"
"Hector",2015,"Male",1491.11764705882,"Adult",0,0.000170293074250312,"Hector"
"Hippo",2015,"Male",1101.11111111111,"Juvenile",0,0.000477272726260422,"Hippo"
"Holly",2015,"Female",1448,"Adult",0,0,"Holly"
"Horis",2015,"Female",1114.97872340426,"Adult",0,9.13835981494164e-13,"Horis"
"Ianson",2015,"Male",1074.5,"Adult",0,0.000397555463110514,"Ianson"
"Ideafix",2015,"Male",493,"Adult",0,1.1324316607858e-05,"Ideafix"
"Inka",2015,"Male",211.666666666667,"Adult",0,0.000390913347349846,"Inka"
"Ivy",2015,"Female",1645.96296296296,"Adult",0,0.000359994883203079,"Ivy"
"Jago",2015,"Male",227.666666666667,"Adult",0,0.00022654178552535,"Jago"
"Jamie",2015,"Male",1606.55555555556,"Adult",0,0.000444337379729448,"Jamie"
"Jason",2015,"Male",217.954545454545,"Juvenile",0,0.000195529915686021,"Jason"
"Jen",2015,"Female",368.547619047619,"Adult",0,0.000451840526671577,"Jen"
"Johnny",2015,"Male",1577.80555555556,"Adult",0,0.000313098260655593,"Johnny"
"Joy",2015,"Female",47.8333333333333,"Juvenile",0,0,"Joy"
"Judge",2015,"Male",1619.27777777778,"Adult",0,3.03005657305156e-11,"Judge"
"Judy",2015,"Female",1574.1186440678,"Adult",0,2.11534089102376e-12,"Judy"
"Jumper",2015,"Male",1467,"Adult",0,0.000646681143430433,"Jumper"
"Juno",2015,"Female",329.9,"Juvenile",0,0.000180654935447857,"Juno"
"Kaa",2015,"Female",1578.82352941176,"Juvenile",0,3.24086499292399e-13,"Kaa"
"Karin",2015,"Female",1088.43661971831,"Adult",0,4.50212135758822e-06,"Karin"
"Kelvin",2015,"Male",1452.83333333333,"Adult",0,6.747981964248e-05,"Kelvin"
"Kiah",2015,"Female",341.68,"Adult",0,0,"Kiah"
"Kiah",2015,"Female",83,"Juvenile",0,0,"Kiah"
"Kiara",2015,"Female",1055.78260869565,"Juvenile",0,0.000122526412409174,"Kiara"
"Kiarash",2015,"Male",728.266666666667,"Adult",0,4.23350485894297e-05,"Kiarash"
"Kirra",2015,"Female",1442,"Adult",0,5.94701536054879e-05,"Kirra"
"Larsson",2015,"Male",652.333333333333,"Adult",0,0.000350222868218064,"Larsson"
"Lavender",2015,"Female",822.2,"Juvenile",0,2.11245236401044e-05,"Lavender"
"Leona",2015,"Female",898.5,"Adult",0,0,"Leona"
"Lima",2015,"Female",912.25,"Adult",0,0.000191111003006909,"Lima"
"Llum",2015,"Female",232.703703703704,"Juvenile",0,0.000318506416657759,"Llum"
"Lola",2015,"Female",1645,"Adult",0,0.000757034943502057,"Lola"
"Loopy",2015,"Female",263.75,"Juvenile",0,0,"Loopy"
"Loretta",2015,"Female",1629.07843137255,"Juvenile",0,0.000399880014496512,"Loretta"
